Chemical Name,Chemical Abbreviation,Molecular Weight (g/mol),Density            (g/mL),InChI=,InChI Key (ID),Chemical Category,Canonical SMILES String,Molecular Formula,PubChem ID,ECL Chemical id,ECL Product id,Catalog description,Synonyms,Catalog number,Sigma-Aldrich URL,Primary Information Source
Dichloromethane,DCM,84.93,1.33,InChI=1S/CH2Cl2/c2-1-3/h1H2,YMWUJEATGCHHMB-UHFFFAOYSA-N,solvent,C(Cl)Cl,CH2Cl2,,,,,,,,
Dimethylammonium iodide,Me2NH2I,172.97,2.03749,"InChI=1S/C2H7N.HI/c1-3-2;/h3H,1-2H3;1H",JMXLWMIFDJCGBV-UHFFFAOYSA-N,organic,C[NH2+]C.[I-],C2H8IN,,,,,,greatcell: MS111100-100,,https://pubchem.ncbi.nlm.nih.gov/compound/12199010
Phenylammonium Iodide,PhenylammoniumIodide,221.04,1.888168,"InChI=1S/C6H7N.HI/c7-6-4-2-1-3-5-6;/h1-5H,7H2;1H",KFQARYBEAKAXIC-UHFFFAOYSA-N,organic,C1=CC=C(C=C1)[NH3+].[I-],C6H8IN,6450296,,,,,,,
t-Butylammonium Iodide,tButylammoniumIodide,201,1.681204,"InChI=1S/C4H11N.HI/c1-4(2,3)5;/h5H2,1-3H3;1H",NLJDBTZLVTWXRG-UHFFFAOYSA-N,organic,CC(C)(C)[NH3+].[I-],C4H12IN,22344722,,,,,MS106000-10; sigma: 806102-5G,https://www.sigmaaldrich.com/catalog/product/aldrich/806102?lang=en&region=US,https://pubchem.ncbi.nlm.nih.gov/compound/22344722
N-propylammonium Iodide,NPropylammoniumIodide,186.99,1.843205,"InChI=1S/C3H9N.HI/c1-2-3-4;/h2-4H2,1H3;1H",GIAPQOZCVIEHNY-UHFFFAOYSA-N,organic,[I-].[NH3+]CCC,C3H10IN,,,,,,,,
Formamidinium Iodide,FormamidiniumIodide,171.97,2.423927,"InChI=1S/CH4N2.HI/c2-1-3;/h1H,(H3,2,3);1H",QHJPGANWSLEMTI-UHFFFAOYSA-N,organic,C(=N)[NH3+].[I-],CH5IN2,,"Model[Sample, Chemical, ""id:rea9jlRR66LO""]","Object[Product, ""id:jLq9jXvv66PE""]",,,greatcell: MS-150000-100,https://www.sigmaaldrich.com/catalog/product/aldrich/806048?lang=en&region=US,PubChem
"1,4-Diazabicyclo[2,2,2]octane-1,4-diium Iodide",Dabcoiodide,368,2.1888,InChI=1S/C6H12N2.2HI/c1-2-8-5-3-7(1)4-6-8;;/h1-6H2;2*1H,WXTNTIQDYHIFEG-UHFFFAOYSA-N,organic,C1C[NH+]2CC[NH+]1CC2.[I-].[I-],C6H14I2N2,129880796,,,,,,,
4-Fluoro-Benzylammonium iodide,4FluoroBenzylammoniumIodide,253.06,1.864177,"InChI=1S/C7H8FN.HI/c8-7-3-1-6(5-9)2-4-7;/h1-4H,5,9H2;1H",LCTUISCIGMWMAT-UHFFFAOYSA-N,organic,C1(=CC=C(C=C1)F)C[NH3+].[I-],C7H9FIN,,,,,,,,
4-Fluoro-Phenethylammonium iodide,4FluoroPhenethylammoniumIodide,266.99,1.740239,"InChI=1S/C8H10FN.HI/c9-8-3-1-7(2-4-8)5-6-10;/h1-4H,5-6,10H2;1H",NOHLSFNWSBZSBW-UHFFFAOYSA-N,organic,C1(=CC=C(C=C1)F)CC[NH3+].[I-],C8H11FIN,,,,,,,,
4-Fluoro-Phenylammonium iodide,4FluoroPhenylammoniumIodide,239.03,2.014867,"InChI=1S/C6H6FN.HI/c7-5-1-3-6(8)4-2-5;/h1-4H,8H2;1H",FJFIJIDZQADKEE-UHFFFAOYSA-N,organic,C1(=CC=C(C=C1)F)[NH3+].[I-],C6H7FIN,,,,,,,,
4-Methoxy-Phenylammonium iodide,4MethoxyPhenylammoniumIodide,251.07,1.771191,"InChI=1S/C7H9NO.HI/c1-9-7-4-2-6(8)3-5-7;/h2-5H,8H2,1H3;1H",QRFXELVDJSDWHX-UHFFFAOYSA-N,organic,C1(=CC=C(C=C1)OC)[NH3+].[I-],C7H10INO,,,,,,,,
4-Trifluoromethyl-Benzylammonium iodide,4TrifluoromethylBenzylammoniumIodide,303.07,1.938294,"InChI=1S/C8H8F3N.HI/c9-8(10,11)7-3-1-6(5-12)2-4-7;/h1-4H,5,12H2;1H",SQXJHWOXNLTOOO-UHFFFAOYSA-N,organic,C1(=CC=C(C=C1)C(F)(F)F)C[NH3+].[I-],C8H9F3IN,,,,,,,,
4-Trifluoromethyl-Phenylammonium iodide,4TrifluoromethylPhenylammoniumIodide,289.04,2.074383,"InChI=1S/C7H6F3N.HI/c8-7(9,10)5-1-3-6(11)4-2-5;/h1-4H,11H2;1H",KOAGKPNEVYEZDU-UHFFFAOYSA-N,organic,C1(=CC=C(C=C1)C(F)(F)F)[NH3+].[I-],C7H7F3IN,,,,,,,,
chlorobenzene,CBz,112.56,1.11,InChI=1S/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H,MVPPADPHJFYWMZ-UHFFFAOYSA-N,solvent,C1=CC=C(C=C1)Cl,C6H5Cl,,,,,,,,
Acetamidinium bromide,ACBr,138.99,1.819847,"InChI=1S/C2H6N2.BrH/c1-2(3)4;/h1H3,(H3,3,4);1H",CWJKVUQGXKYWTR-UHFFFAOYSA-N,organic,CC(=[NH2+])N.[Br-],C2H7BrN2,44255193,,,,,,,
Benzylammonium Bromide,BnNH3Br,188.07,1.530173,"InChI=1S/C7H9N.BrH/c8-6-7-4-2-1-3-5-7;/h1-5H,6,8H2;1H",QJFMCHRSDOLMHA-UHFFFAOYSA-N,organic,C1=CC=C(C=C1)C[NH3+].[Br-],C7H10BrN,12998568,,,,,Sigma: 900885-5G,https://www.sigmaaldrich.com/catalog/product/aldrich/900885?lang=en&region=US,https://pubchem.ncbi.nlm.nih.gov/compound/12998568
Benzylammonium Iodide,BenzylammoniumIodide,235.07,1.745993,"InChI=1S/C7H9N.HI/c8-6-7-4-2-1-3-5-7;/h1-5H,6,8H2;1H",PPCHYMCMRUGLHR-UHFFFAOYSA-N,organic,C1=CC=C(C=C1)C[NH3+].[I-],C7H10IN,,"Model[Sample, Chemical, ""id:M8n3rx00woJm""]","Object[Product, ""id:WNa4ZjKK3xJV""]",Benzylammonium Iodide,,Sigma: 806196-25G,https://www.sigmaaldrich.com/catalog/product/aldrich/806196?lang=en&region=US,PubChem
Beta Alanine Hydroiodide,betaAlanineHydroiodide,217.01,2.023364,"InChI=1S/C3H7NO2.HI/c4-2-1-3(5)6;/h1-2,4H2,(H,5,6);1H",XAKAQFUGWUAPJN-UHFFFAOYSA-N,organic,[I-].[NH3+]CCC(O)=O,,,,,,,,,https://cactus.nci.nih.gov/chemical/structure/I.NCCC(O)=O/stdinchikey
Bismuth iodide,BiI3,589.69,5.78,InChI=1S/Bi.3HI/h;3*1H/q+3;;;/p-3,KOECRLKKXSXCPB-UHFFFAOYSA-K,inorganic,I[Bi](I)I,BiI3,,,,,,Sigma: 341010-100G,,https://pubchem.ncbi.nlm.nih.gov/compound/Bismuth_iodide#section=3D-Status
Cesium iodide,CsI,259.81,4.51,InChI=1S/Cs.HI/h;1H/q+1;/p-1,XQPRBTXUXXVTKB-UHFFFAOYSA-M,inorganic,[I-].[Cs+],CsI,,,,,,Sigma: 203033-10G,,https://pubchem.ncbi.nlm.nih.gov/compound/24601
Dimethylformamide,DMF,73.1,0.944,"InChI=1S/C3H7NO/c1-4(2)3-5/h3H,1-2H3",ZMXDDKWLCZADIW-UHFFFAOYSA-N,solvent,CN(C)C=O,C3H7NO,,"Model[Sample, Chemical, ""id:rea9jl1orrq3""]",,"Anhydrous DMF.  Note.  ECL maintains this as a stocked item, so we do not have to both with a product number",,,,
"Ethane-1,2-diammonium bromide",EthylenediamineDihydrobromide,221.92,2.067161,InChI=1S/C2H8N2.2BrH/c3-1-2-4;;/h1-4H2;2*1H,BCQZYUOYVLJOPE-UHFFFAOYSA-N,organic,C(C[NH3+])[NH3+].[Br-].[Br-],C2H10Br2N2,164699,,,,,greatcell: MS302002-10; sigma: 900833-25G,https://www.sigmaaldrich.com/catalog/product/aldrich/900833?lang=en&region=US,https://pubchem.ncbi.nlm.nih.gov/compound/Ethylenediamine-dihydrobromide
"Ethane-1,2-diammonium iodide",EthylenediamineDihydriodide,315.93,2.544818,InChI=1S/C2H8N2.2HI/c3-1-2-4;;/h1-4H2;2*1H,IWNWLPUNKAYUAW-UHFFFAOYSA-N,organic,C(C[NH3+])[NH3+].[I-].[I-],C2H10I2N2,,"Model[Sample, Chemical, ""id:Vrbp1jKKWxpo""]","Object[Product, ""id:XnlV5jKK6xVz""]",,,Sigma: 900852-25G,https://www.sigmaaldrich.com/catalog/product/aldrich/900852?lang=en&region=US,https://pubchem.ncbi.nlm.nih.gov/compound/5700-49-2#section=Names-and-Identifiers
Ethylammonium bromide,EtNH3Br,126,1.671914,"InChI=1S/C2H7N.BrH/c1-2-3;/h2-3H2,1H3;1H",PNZDZRMOBIIQTC-UHFFFAOYSA-N,organic,CC[NH3+].[Br-],C2H8BrN,,,,,,Sigma: 900868-10G,https://www.sigmaaldrich.com/catalog/product/aldrich/900868?lang=en&region=US,https://pubchem.ncbi.nlm.nih.gov/compound/68974
Formamidinium bromide,FABr,124.97,2.005249,"InChI=1S/CH4N2.BrH/c2-1-3;/h1H,(H3,2,3);1H",QWANGZFTSGZRPZ-UHFFFAOYSA-N,organic,C(=[NH2+])N.[Br-],CH5BrN2,89907631,,,,,Sigma: 900835-25G; GreatCellSolar: CAS RN: 146958-06-7,https://www.sigmaaldrich.com/catalog/product/aldrich/900835?lang=en&region=US,
Guanidinium bromide,GnNH3Br,139.98,1.999305,"InChI=1S/CH5N3.BrH/c2-1(3)4;/h(H5,2,3,4);1H",VQNVZLDDLJBKNS-UHFFFAOYSA-N,organic,C(=[NH2+])(N)N.[Br-],CH6BrN3,129656112,,,,,Sigma: 900839-10G,https://www.sigmaaldrich.com/catalog/product/aldrich/900839?lang=en&region=US,https://pubchem.ncbi.nlm.nih.gov/compound/71282
i-Propylammonium iodide,iPropylammoniumIodide,187.02,1.841935,"InChI=1S/C3H9N.HI/c1-3(2)4;/h3H,4H2,1-2H3;1H",VMLAEGAAHIIWJX-UHFFFAOYSA-N,organic,CC(C)[NH3+].[I-],C3H10IN,,"Model[Sample, Chemical, ""id:54n6evLLZMBN""]","Object[Product, ""id:n0k9mG88nWNw""]",,,greatcell: MS104000-100,https://www.sigmaaldrich.com/catalog/product/aldrich/805882?lang=en&region=US,https://pubchem.ncbi.nlm.nih.gov/compound/91972165#section=Top
Imidazolium Iodide,ImidazoliumIodide,195.99,2.34327,"InChI=1S/C3H4N2.HI/c1-2-5-3-4-1;/h1-3H,(H,4,5);1H",JBOIAZWJIACNJF-UHFFFAOYSA-N,organic,C1=CN=C[NH2+]1.[I-],C3H5IN2,,,,,,greatcell: MS-170000-100,,PubChem
iso-Butylammonium bromide,iButylammoniumBromide,154.05,1.414965,"InChI=1S/C4H11N.BrH/c1-4(2)3-5;/h4H,3,5H2,1-2H3;1H",RFYSBVUZWGEPBE-UHFFFAOYSA-N,organic,CC(C)C[NH3+].[Br-],C4H12BrN,89264112,,,,,greatcell: MS307000-10; sigma: 900869-10G,https://www.sigmaaldrich.com/catalog/product/aldrich/900869?lang=en&region=US,https://pubchem.ncbi.nlm.nih.gov/compound/89264112
iso-Butylammonium iodide,iButylammoniumIodide,201.05,1.682582,"InChI=1S/C4H11N.HI/c1-4(2)3-5;/h4H,3,5H2,1-2H3;1H",FCTHQYIDLRRROX-UHFFFAOYSA-N,organic,[I-].CC(C)C[NH3+],C4H12IN,,,,,,greatcell: MS107000-100,,https://cactus.nci.nih.gov/chemical/structure
iso-Pentylammonium iodide,IPentylammoniumIodide,215.02,1.55959,"InChI=1S/C5H13N.HI/c1-5(2)3-4-6;/h5H,3-4,6H2,1-2H3;1H",UZHWWTHDRVLCJU-UHFFFAOYSA-N,organic,CC(CC[NH3+])C.[I-],C5H14IN,,,,,,,,
Lead(II) acetate trihydrate,LeadAcetate,379.33,2.55,"InChI=1S/2C2H4O2.3H2O.Pb/c2*1-2(3)4;;;;/h2*1H3,(H,3,4);3*1H2;/q;;;;;+2/p-2",MCEUZMYFCCOOQO-UHFFFAOYSA-L,inorganic,CC(=O)O[Pb]OC(=O)C.O.O.O,C4H12O7Pb,16693916,"Model[Sample, Chemical, ""id:o1k9jAGo4GvG""]","Object[Product, ""id:zGj91a7kr7nj""]",,,Sigma: 467863-50G,https://www.sigmaaldrich.com/catalog/product/aldrich/467863?lang=en&\region=US,
Lead(II) bromide,PbBr2,367.01,6.66,InChI=1S/2BrH.Pb/h2*1H;/q;;+2/p-2,ZASWJUOMEGBQCQ-UHFFFAOYSA-L,inorganic,Br[Pb]Br,PbBr2,,"Model[Sample,Chemical,id:jLq9jXvO4rGZ]",,"Object[Product,id:7X104vn698bk]",,Sigma: 211141-100G,,https://www.sigmaaldrich.com/catalog/product/aldrich/211141?lang=en&\region=US
Methylammonium bromide,Methylammoniumbromide,111.97,1.883462,"InChI=1S/CH5N.BrH/c1-2;/h2H2,1H3;1H",ISWNAMNOYHCTSB-UHFFFAOYSA-N,organic,C[NH3+].[Br-],CH6BrN,,"Model[Sample, Chemical, ""id:7X104vn69PWk""]","Object[Product, ""id:N80DNj1vYkRA""]",Methylammonium bromide,,Sigma: 806498-25G,https://www.sigmaaldrich.com/catalog/product/aldrich/806498?lang=en&region=US,
Morpholinium Iodide,MorpholiniumIodide,215.03,1.896504,"InChI=1S/C4H9NO.HI/c1-3-6-4-2-5-1;/h5H,1-4H2;1H",VAWHFUNJDMQUSB-UHFFFAOYSA-N,organic,C1COCC[NH2+]1.[I-],C4H10INO,12196071,,,,,MS110640-10,,https://pubchem.ncbi.nlm.nih.gov/compound/Morpholinium-iodide
n-Dodecylammonium bromide,nDodecylammoniumBromide,266.26,1.064263,"InChI=1S/C12H27N.BrH/c1-2-3-4-5-6-7-8-9-10-11-12-13;/h2-13H2,1H3;1H",VZXFEELLBDNLAL-UHFFFAOYSA-N,organic,CCCCCCCCCCCC[NH3+].[Br-],C12H28BrN,21872287,,,,,greatcell: MS300880,,https://pubchem.ncbi.nlm.nih.gov/compound/21872287#section=InChI
n-Dodecylammonium iodide,nDodecylammoniumIodide,313.26,1.128466,"InChI=1S/C12H27N.HI/c1-2-3-4-5-6-7-8-9-10-11-12-13;/h2-13H2,1H3;1H",PXWSKGXEHZHFJA-UHFFFAOYSA-N,organic,[I-].CCCCCCCCCCCC[NH3+],C12H28IN,,,,,,greatcell: MS100880-100,,https://cactus.nci.nih.gov/chemical/structure
n-Hexylammonium iodide,nHexylammoniumIodide,229.11,1.464001,"InChI=1S/C6H15N.HI/c1-2-3-4-5-6-7;/h2-7H2,1H3;1H",VNAAUNTYIONOHR-UHFFFAOYSA-N,organic,CCCCCC[NH3+].[I-],C6H16IN,,,,,,,,
n-Octylammonium Iodide,nOctylammoniumIodide,257.16,1.31499,"InChI=1S/C8H19N.HI/c1-2-3-4-5-6-7-8-9;/h2-9H2,1H3;1H",HBZSVMFYMAOGRS-UHFFFAOYSA-N,organic,CCCCCCCC[NH3+].[I-],C8H20IN,22461615,,,,Octyalazanium,MS105500-10,,https://pubchem.ncbi.nlm.nih.gov/compound/22461615
neo-Pentylammonium bromide,neoPentylammoniumBromide,168.08,1.330429,"InChI=1S/C5H13N.BrH/c1-5(2,3)4-6;/h4,6H2,1-3H3;1H",FEUPHURYMJEUIH-UHFFFAOYSA-N,organic,CC(C)(C)C[NH3+].[Br-],C5H14BrN,87350950,,,,"2,2-Dimethylpropylazanium;bromide",greatcell: MS300740-10,,https://pubchem.ncbi.nlm.nih.gov/compound/87350950
neo-Pentylammonium iodide,neoPentylammoniumIodide,215.02,1.555659,"InChI=1S/C5H13N.HI/c1-5(2,3)4-6;/h4,6H2,1-3H3;1H",CQWGDVVCKBJLNX-UHFFFAOYSA-N,organic,[I-].CC(C)(C)C[NH3+],C5H14IN,,,,,,greatcell: MS100740-100,,https://cactus.nci.nih.gov/chemical/structure
Phenethylammonium bromide,C8H12BrN,202.09,1.446421,"InChI=1S/C8H11N.BrH/c9-7-6-8-4-2-1-3-5-8;/h1-5H,6-7,9H2;1H",IRAGENYJMTVCCV-UHFFFAOYSA-N,organic,c1ccc(cc1)CC[NH3+].[Br-],C8H12BrN,70441016,,,,,Sigma: 900829-10G,https://www.sigmaaldrich.com/catalog/product/aldrich/900829?lang=en&region=US,https://pubchem.ncbi.nlm.nih.gov/compound/70441016
"Piperazine-1,4-diium bromide",PiperazinediiumDiBromide,247.96,1.936635,"InChI=1S/C4H10N2.2BrH/c1-2-6-4-3-5-1;;/h5-6H,1-4H2;2*1H",UXWKNNJFYZFNDI-UHFFFAOYSA-N,organic,C1C[NH2+]CC[NH2+]1.[Br-].[Br-],C4H12Br2N2,,,,,,greatcell: MS319500,,
"Piperazine-1,4-diium iodide",PiperazinediiumDiodide,341.96,2.352982,"InChI=1S/C4H10N2.2HI/c1-2-6-4-3-5-1;;/h5-6H,1-4H2;2*1H",QZCGFUVVXNFSLE-UHFFFAOYSA-N,organic,[I-].[I-].C1C[NH2+]CC[NH2+]1,,,,,,,,,https://cactus.nci.nih.gov/chemical/structure/%5BI-%5D.%5BI-%5D.C1C%5BNH2+%5DCC%5BNH2+%5D1/stdinchikey
Piperidinium Iodide,PiperidiniumIodide,213.06,1.720983,"InChI=1S/C5H11N.HI/c1-2-4-6-5-3-1;/h6H,1-5H2;1H",HBPSMMXRESDUSG-UHFFFAOYSA-N,organic,C1CC[NH2+]CC1.[I-],C5H12IN,15533240,,,,,MS119800-10,,https://pubchem.ncbi.nlm.nih.gov/compound/15533240
"Poly(vinyl alcohol), Mw89000-98000, >99% hydrolyzed)",PVA,92000,1234.56,"1S/C2H4O/c1-2-3/h2-3H,1H2",IMROMDMJAWUWLK-UHFFFAOYSA-N,polymer,C{-}(OC(=O)C)C{n+},C2H4O,,,,,,Sigma: 341584-25G,https://www.sigmaaldrich.com/catalog/product/ALDRICH/341584?lang=en&\region=US&cm_sp=Insite-_-prodRecCold_xviews-_-prodRecCold5-3,
Pralidoxime iodide,PralidoximeIodide,264.07,1.850877,"InChI=1S/C7H8N2O.HI/c1-9-5-3-2-4-7(9)6-8-10;/h2-6H,1H3;1H/b7-6+;",QNBVYCDYFJUNLO-UHDJGPCESA-N,organic,CN1C=CC=CC1=C[NH+]=O.[I-],C7H9IN2O,,,,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/pralidoxime_iodide#section=Names-and-Identifiers
"Propane-1,3-diammonium iodide",Propane13diammoniumIodide,329.95,2.10244,InChI=1S/C3H10N2.HI/c4-2-1-3-5;/h1-5H2;1H/p+1,KFXBDBPOGBBVMC-UHFFFAOYSA-N,organic,[NH3+]CCC[NH3+].[I-].[I-],C3H12IN2,,,,,,,,
Pyrrolidinium Bromide,pyrrolidiniumBromide,152.03,1.587983,"InChI=1S/C4H9N.BrH/c1-2-4-5-3-1;/h5H,1-4H2;1H",VFDOIPKMSSDMCV-UHFFFAOYSA-N,organic,C1CC[NH2+]C1.[Br-],C4H10BrN,18621471,,,,,greatcell: MS319700-10,,https://pubchem.ncbi.nlm.nih.gov/compound/18621471
Pyrrolidinium Iodide,PyrrolidiniumIodide,199.04,1.88354,"InChI=1S/C4H9N.HI/c1-2-4-5-3-1;/h5H,1-4H2;1H",DMFMZFFIQRMJQZ-UHFFFAOYSA-N,organic,C1CC[NH2+]C1.[I-],C4H10IN,,,,,,greatcell: MS119700-100,,https://pubchem.ncbi.nlm.nih.gov/compound/11159941
Quinuclidin-1-ium bromide,QuinuclidiniumBromide,192.1,1.422151,"InChI=1S/C7H13N.BrH/c1-4-8-5-2-7(1)3-6-8;/h7H,1-6H2;1H",DYEHDACATJUKSZ-UHFFFAOYSA-N,organic,C1C[NH+]2CCC1CC2.[Br-],C7H14BrN,66608461,,,,1-Azoniabicyclo[2.2.2]octane;bromide,greatcell: MS329300,,https://pubchem.ncbi.nlm.nih.gov/compound/66608461
Quinuclidin-1-ium iodide,QuinuclidiniumIodide,239.1,1.617795,"InChI=1S/C7H13N.HI/c1-4-8-5-2-7(1)3-6-8;/h7H,1-6H2;1H",LYHPZBKXSHVBDW-UHFFFAOYSA-N,organic,C1C[NH+]2CCC1CC2.[I-],,,,,,,,,https://cactus.nci.nih.gov/chemical/structure/%5BI-%5D.C1C%5BNH+%5D2CCC1CC2/stdinchikey
tert-Octylammonium iodide,TertOctylammoniumIodide,257.16,1.304114,"InChI=1S/C8H19N.HI/c1-7(2,3)6-8(4,5)9;/h6,9H2,1-5H3;1H",UXYJHTKQEFCXBJ-UHFFFAOYSA-N,organic,C(CC(C)(C)[NH3+])(C)(C)C.[I-],C8H20IN,,,,,,,,
Pyridinium Iodide,PyridiniumIodide,207.01,2.051533,InChI=1S/C5H5N.HI/c1-2-4-6-5-3-1;/h1-5H;1H,BJDYCCHRZIFCGN-UHFFFAOYSA-N,organic,C1=CC=[NH+]C=C1.[I-],C5H6IN,6432201,,,,,,,
Cyclohexylmethylammonium iodide,CyclohexylmethylammoniumIodide,241.11,1.505014,"InChI=1S/C7H15N.HI/c1-8-7-5-3-2-4-6-7;/h7-8H,2-6H2,1H3;1H",ZEVRFFCPALTVDN-UHFFFAOYSA-N,organic,C1CCC(CC1)C[NH3+].[I-],C7H16IN,129790872,,,,,,,
Cyclohexylammonium iodide,CyclohexylammoniumIodide,227.09,1.605951,"InChI=1S/C6H13N.HI/c7-6-4-2-1-3-5-6;/h6H,1-5,7H2;1H",WGYRINYTHSORGH-UHFFFAOYSA-N,organic,C1CCC(CC1)[NH3+].[I-],C6H14IN,89524541,,,,,,,
"Butane-1,4-diammonium Iodide",Butane14diammoniumIodide,343.98,2.203123,InChI=1S/C4H12N2.2HI/c5-3-1-2-4-6;;/h1-6H2;2*1H,XZUCBFLUEBDNSJ-UHFFFAOYSA-N,organic,C(CC[NH3+])C[NH3+].[I-].[I-],C4H14I2N2,,,,,,,,
"1,4-Benzene diammonium iodide",Benzenediaminedihydroiodide,363.97,2.340659,"InChI=1S/C6H8N2.2HI/c7-5-1-2-6(8)4-3-5;;/h1-4H,7-8H2;2*1H",RYYSZNVPBLKLRS-UHFFFAOYSA-N,organic,C1=CC(=CC=C1[NH3+])[NH3+].[I-].[I-],C6H10I2N2,129655325,,,,,,,
5-Azaspiro[4.4]nonan-5-ium iodide,5Azaspironoiodide,253.12,1.527018,InChI=1S/C8H16N.HI/c1-2-6-9(5-1)7-3-4-8-9;/h1-8H2;1H/q+1;/p-1,DWOWCUCDJIERQX-UHFFFAOYSA-M,organic,C1CC[N+]2(C1)CCCC2.[I-],C8H16IN,86209376,,,,,,,
Diethylammonium iodide,Diethylammoniumiodide,201.05,1.676932,"InChI=1S/C4H11N.HI/c1-3-5-4-2;/h5H,3-4H2,1-2H3;1H",YYMLRIWBISZOMT-UHFFFAOYSA-N,organic,CC[NH2+]CC.[I-],C4H12IN,88320434,,,,,,,
